Lamar Alexander
Roy Blunt
Sherrod Brown
Richard Burr
Tammy Baldwin
John Boozman
John Barrasso
Michael Bennet
Richard Blumenthal
Cory Booker
Maria Cantwell
Benjamin Cardin
Thomas Carper
Thad Cochran
Michael Crapo
Susan Collins
Shelley Capito
John Cornyn
Bob Casey
Bob Corker
Bill Cassidy
Christopher Coons
Tom Cotton
Ted Cruz
Catherine Cortez Masto
Richard Durbin
Joe Donnelly
Steve Daines
Tammy Duckworth
Michael Enzi
Joni Ernst
Dianne Feinstein
Jeff Flake
Al Franken
Deb Fischer
Lindsey Graham
Charles Grassley
Kirsten Gillibrand
Cory Gardner
Orrin Hatch
Dean Heller
Mazie Hirono
Martin Heinrich
John Hoeven
Heidi Heitkamp
Kamala Harris
Margaret Hassan
James Inhofe
Johnny Isakson
Ron Johnson
Amy Klobuchar
Angus King
Tim Kaine
John Kennedy
Patrick Leahy
James Lankford
Mike Lee
Edward Markey
John McCain
Mitch McConnell
Robert Menendez
Jerry Moran
Patty Murray
Lisa Murkowski
Christopher Murphy
Claire McCaskill
Jeff Merkley
Joe Manchin III
Bill Nelson
Rob Portman
Gary Peters
Rand Paul
David Perdue
Jack Reed
Pat Roberts
Jim Risch
Marco Rubio
Mike Rounds
Bernard Sanders
Charles Schumer
Richard Shelby
Debbie Stabenow
Jeff Sessions
Jeanne Shaheen
Tim Scott
Brian Schatz
Ben Sasse
Dan Sullivan
Luther Strange
John Thune
Patrick Toomey
Jon Tester
Thom Tillis
Tom Udall
Chris Van Hollen
Roger Wicker
Ron Wyden
Sheldon Whitehouse
Mark Warner
Elizabeth Warren
Todd Young
Robert Aderholt
Justin Amash
Mark Amodei
Alma Adams
Pete Aguilar
Rick Allen
Ralph Abraham
Jodey Arrington
Joe Barton
Xavier Becerra
Sanford Bishop Jr.
Earl Blumenauer
Kevin Brady
Robert Brady
Marsha Blackburn
Madeleine Bordallo
Michael Burgess
Rob Bishop
G. Butterfield
Gus Bilirakis
Vern Buchanan
Lou Barletta
Karen Bass
Diane Black
Mo Brooks
Larry Bucshon
Suzanne Bonamici
Joyce Beatty
Andy Barr
Jim Bridenstine
Susan Brooks
Julia Brownley
Cheri Bustos
Ami Bera
Bradley Byrne
David Brat
Brian Babin
Donald Beyer
Mike Bishop
Rod Blum
Mike Bost
Brendan Boyle
Ken Buck
Don Bacon
Jim Banks
Nanette Barragán
Jack Bergman
Andy Biggs
Lisa Blunt Rochester
Anthony Brown
Ted Budd
Ken Calvert
Steven Chabot
James Clyburn
John Conyers Jr.
Jim Cooper
Elijah Cummings
Michael Capuano
Joseph Crowley
John Culberson
William Clay
John Carter
Tom Cole
Jim Costa
Emanuel Cleaver II
K. Conaway
Henry Cuellar
Kathy Castor
Yvette Clarke
Steve Cohen
Joe Courtney
André Carson
Jason Chaffetz
Mike Coffman
Gerald Connolly
Judy Chu
David Cicilline
Rick Crawford
Matt Cartwright
Joaquín Castro
Chris Collins
Doug Collins
Paul Cook
Kevin Cramer
Tony Cardenas
Katherine Clark
Buddy Carter
Barbara Comstock
Ryan Costello
Carlos Curbelo
James Comer
Liz Cheney
J. Correa
Charlie Crist
Salud Carbajal
Danny Davis
Peter DeFazio
Diana DeGette
Rosa DeLauro
Lloyd Doggett
Mike Doyle
John Duncan Jr.
Susan Davis
Mario Diaz-Balart
Charlie Dent
Ted Deutch
Jeffrey Denham
Sean Duffy
Jeffrey Duncan
Scott DesJarlais
Suzan DelBene
Rodney Davis
John Delaney
Ron DeSantis
Mark DeSaulnier
Debbie Dingell
Daniel Donovan
Warren Davidson
Val Demings
Neal Dunn
Eliot Engel
Anna Eshoo
Keith Ellison
Elizabeth Esty
Tom Emmer
Dwight Evans
Adriano Espaillat
Rodney Frelinghuysen
Trent Franks
Jeff Fortenberry
Virginia Foxx
Bill Foster
Marcia Fudge
Chuck Fleischmann
Blake Farenthold
Bill Flores
Lois Frankel
John Faso
A. Ferguson
Brian Fitzpatrick
Robert Goodlatte
Kay Granger
Gene Green
Luis Gutiérrez
Sam Graves
Raúl Grijalva
Louie Gohmert
Al Green
Brett Guthrie
John Garamendi
Tom Graves
Bob Gibbs
Paul Gosar
Trey Gowdy
Morgan Griffith
Tulsi Gabbard
Ruben Gallego
Glenn Grothman
Garret Graves
Matt Gaetz
Mike Gallagher
Thomas Garrett
